symbol,section,sub.section,group,category,date,value
VNET,Financials,Financials,8,Payout Ratio % *,2010-12-01,NA
VNET,Financials,Financials,8,Payout Ratio % *,2011-12-01,NA
VNET,Financials,Financials,8,Payout Ratio % *,2012-12-01,NA
VNET,Financials,Financials,8,Payout Ratio % *,2013-12-01,NA
VNET,Financials,Financials,8,Payout Ratio % *,2014-12-01,NA
VNET,Financials,Financials,8,Payout Ratio % *,2015-12-01,NA
VNET,Financials,Financials,8,Payout Ratio % *,2016-12-01,NA
VNET,Financials,Financials,8,Payout Ratio % *,2017-12-01,NA
VNET,Financials,Financials,9,Shares Mil,2008-12-01,NA
VNET,Financials,Financials,9,Shares Mil,2009-12-01,30
VNET,Financials,Financials,9,Shares Mil,2010-12-01,30
VNET,Financials,Financials,9,Shares Mil,2011-12-01,53
VNET,Financials,Financials,9,Shares Mil,2012-12-01,59
VNET,Financials,Financials,9,Shares Mil,2013-12-01,61
VNET,Financials,Financials,9,Shares Mil,2014-12-01,67
VNET,Financials,Financials,9,Shares Mil,2015-12-01,82
VNET,Financials,Financials,9,Shares Mil,2016-12-01,103
VNET,Financials,Financials,9,Shares Mil,2017-12-01,112
VNET,Financials,Financials,10,Book Value Per Share * CNY,2008-12-01,NA
VNET,Financials,Financials,10,Book Value Per Share * CNY,2009-12-01,NA
VNET,Financials,Financials,10,Book Value Per Share * CNY,2010-12-01,NA
VNET,Financials,Financials,10,Book Value Per Share * CNY,2011-12-01,4.82
VNET,Financials,Financials,10,Book Value Per Share * CNY,2012-12-01,5.18
VNET,Financials,Financials,10,Book Value Per Share * CNY,2013-12-01,4.61
VNET,Financials,Financials,10,Book Value Per Share * CNY,2014-12-01,5.57
VNET,Financials,Financials,10,Book Value Per Share * CNY,2015-12-01,7.23
VNET,Financials,Financials,10,Book Value Per Share * CNY,2016-12-01,8.29
VNET,Financials,Financials,10,Book Value Per Share * CNY,2017-12-01,5.85
VNET,Financials,Financials,11,Operating Cash Flow CNY Mil,2008-12-01,NA
VNET,Financials,Financials,11,Operating Cash Flow CNY Mil,2009-12-01,3
VNET,Financials,Financials,11,Operating Cash Flow CNY Mil,2010-12-01,81
VNET,Financials,Financials,11,Operating Cash Flow CNY Mil,2011-12-01,166
VNET,Financials,Financials,11,Operating Cash Flow CNY Mil,2012-12-01,174
VNET,Financials,Financials,11,Operating Cash Flow CNY Mil,2013-12-01,65
VNET,Financials,Financials,11,Operating Cash Flow CNY Mil,2014-12-01,325
VNET,Financials,Financials,11,Operating Cash Flow CNY Mil,2015-12-01,217
VNET,Financials,Financials,11,Operating Cash Flow CNY Mil,2016-12-01,84
VNET,Financials,Financials,11,Operating Cash Flow CNY Mil,2017-12-01,402
VNET,Financials,Financials,12,Cap Spending CNY Mil,2008-12-01,NA
VNET,Financials,Financials,12,Cap Spending CNY Mil,2009-12-01,-35
VNET,Financials,Financials,12,Cap Spending CNY Mil,2010-12-01,-59
VNET,Financials,Financials,12,Cap Spending CNY Mil,2011-12-01,-257
VNET,Financials,Financials,12,Cap Spending CNY Mil,2012-12-01,-581
VNET,Financials,Financials,12,Cap Spending CNY Mil,2013-12-01,-455
VNET,Financials,Financials,12,Cap Spending CNY Mil,2014-12-01,-859
VNET,Financials,Financials,12,Cap Spending CNY Mil,2015-12-01,-1100
VNET,Financials,Financials,12,Cap Spending CNY Mil,2016-12-01,-613
VNET,Financials,Financials,12,Cap Spending CNY Mil,2017-12-01,-415
VNET,Financials,Financials,13,Free Cash Flow CNY Mil,2008-12-01,NA
VNET,Financials,Financials,13,Free Cash Flow CNY Mil,2009-12-01,-32
VNET,Financials,Financials,13,Free Cash Flow CNY Mil,2010-12-01,22
VNET,Financials,Financials,13,Free Cash Flow CNY Mil,2011-12-01,-90
VNET,Financials,Financials,13,Free Cash Flow CNY Mil,2012-12-01,-407
VNET,Financials,Financials,13,Free Cash Flow CNY Mil,2013-12-01,-391
VNET,Financials,Financials,13,Free Cash Flow CNY Mil,2014-12-01,-533
VNET,Financials,Financials,13,Free Cash Flow CNY Mil,2015-12-01,-883
VNET,Financials,Financials,13,Free Cash Flow CNY Mil,2016-12-01,-529
VNET,Financials,Financials,13,Free Cash Flow CNY Mil,2017-12-01,-13
VNET,Financials,Financials,14,Free Cash Flow Per Share * CNY,2008-12-01,NA
VNET,Financials,Financials,14,Free Cash Flow Per Share * CNY,2009-12-01,NA
VNET,Financials,Financials,14,Free Cash Flow Per Share * CNY,2010-12-01,NA
VNET,Financials,Financials,14,Free Cash Flow Per Share * CNY,2011-12-01,0.08
VNET,Financials,Financials,14,Free Cash Flow Per Share * CNY,2012-12-01,-1.1
VNET,Financials,Financials,14,Free Cash Flow Per Share * CNY,2013-12-01,-1.09
VNET,Financials,Financials,14,Free Cash Flow Per Share * CNY,2014-12-01,-0.95
VNET,Financials,Financials,14,Free Cash Flow Per Share * CNY,2015-12-01,-1.07
VNET,Financials,Financials,14,Free Cash Flow Per Share * CNY,2016-12-01,-0.99
VNET,Financials,Financials,14,Free Cash Flow Per Share * CNY,2017-12-01,-0.12
VNET,Financials,Financials,15,Working Capital CNY Mil,2008-12-01,NA
VNET,Financials,Financials,15,Working Capital CNY Mil,2009-12-01,-102
VNET,Financials,Financials,15,Working Capital CNY Mil,2010-12-01,-17
VNET,Financials,Financials,15,Working Capital CNY Mil,2011-12-01,1089
VNET,Financials,Financials,15,Working Capital CNY Mil,2012-12-01,453
VNET,Financials,Financials,15,Working Capital CNY Mil,2013-12-01,2543
VNET,Financials,Financials,15,Working Capital CNY Mil,2014-12-01,-122
VNET,Financials,Financials,15,Working Capital CNY Mil,2015-12-01,660
VNET,Financials,Financials,15,Working Capital CNY Mil,2016-12-01,828
VNET,Financials,Financials,15,Working Capital CNY Mil,2017-12-01,2470
VNET,Profitability,Margin of Sales %,16,Revenue,2008-12-01,NA
VNET,Profitability,Margin of Sales %,16,Revenue,2009-12-01,100
VNET,Profitability,Margin of Sales %,16,Revenue,2010-12-01,100
VNET,Profitability,Margin of Sales %,16,Revenue,2011-12-01,100
VNET,Profitability,Margin of Sales %,16,Revenue,2012-12-01,100
VNET,Profitability,Margin of Sales %,16,Revenue,2013-12-01,100
VNET,Profitability,Margin of Sales %,16,Revenue,2014-12-01,100
VNET,Profitability,Margin of Sales %,16,Revenue,2015-12-01,100
VNET,Profitability,Margin of Sales %,16,Revenue,2016-12-01,100
VNET,Profitability,Margin of Sales %,16,Revenue,2017-12-01,100
VNET,Profitability,Margin of Sales %,17,COGS,2008-12-01,NA
VNET,Profitability,Margin of Sales %,17,COGS,2009-12-01,73.11
VNET,Profitability,Margin of Sales %,17,COGS,2010-12-01,75.56
VNET,Profitability,Margin of Sales %,17,COGS,2011-12-01,72.91
VNET,Profitability,Margin of Sales %,17,COGS,2012-12-01,72.07
VNET,Profitability,Margin of Sales %,17,COGS,2013-12-01,73.72
VNET,Profitability,Margin of Sales %,17,COGS,2014-12-01,71.84
VNET,Profitability,Margin of Sales %,17,COGS,2015-12-01,76.51
VNET,Profitability,Margin of Sales %,17,COGS,2016-12-01,80.45
VNET,Profitability,Margin of Sales %,17,COGS,2017-12-01,77.65
VNET,Profitability,Margin of Sales %,18,Gross Margin,2008-12-01,NA
VNET,Profitability,Margin of Sales %,18,Gross Margin,2009-12-01,26.89
VNET,Profitability,Margin of Sales %,18,Gross Margin,2010-12-01,24.44
VNET,Profitability,Margin of Sales %,18,Gross Margin,2011-12-01,27.09
VNET,Profitability,Margin of Sales %,18,Gross Margin,2012-12-01,27.93
VNET,Profitability,Margin of Sales %,18,Gross Margin,2013-12-01,26.28
VNET,Profitability,Margin of Sales %,18,Gross Margin,2014-12-01,28.16
VNET,Profitability,Margin of Sales %,18,Gross Margin,2015-12-01,23.49
VNET,Profitability,Margin of Sales %,18,Gross Margin,2016-12-01,19.55
VNET,Profitability,Margin of Sales %,18,Gross Margin,2017-12-01,22.35
VNET,Profitability,Margin of Sales %,19,SG&A,2008-12-01,NA
VNET,Profitability,Margin of Sales %,19,SG&A,2009-12-01,15.81
VNET,Profitability,Margin of Sales %,19,SG&A,2010-12-01,63.54
VNET,Profitability,Margin of Sales %,19,SG&A,2011-12-01,16.05
VNET,Profitability,Margin of Sales %,19,SG&A,2012-12-01,17.28
VNET,Profitability,Margin of Sales %,19,SG&A,2013-12-01,17.36
VNET,Profitability,Margin of Sales %,19,SG&A,2014-12-01,26.79
VNET,Profitability,Margin of Sales %,19,SG&A,2015-12-01,25.54
VNET,Profitability,Margin of Sales %,19,SG&A,2016-12-01,27.26
VNET,Profitability,Margin of Sales %,19,SG&A,2017-12-01,22.89
VNET,Profitability,Margin of Sales %,20,R&D,2008-12-01,NA
VNET,Profitability,Margin of Sales %,20,R&D,2009-12-01,2.43
VNET,Profitability,Margin of Sales %,20,R&D,2010-12-01,3.79
VNET,Profitability,Margin of Sales %,20,R&D,2011-12-01,3.39
VNET,Profitability,Margin of Sales %,20,R&D,2012-12-01,4.19
VNET,Profitability,Margin of Sales %,20,R&D,2013-12-01,3.96
VNET,Profitability,Margin of Sales %,20,R&D,2014-12-01,4.23
VNET,Profitability,Margin of Sales %,20,R&D,2015-12-01,3.93
VNET,Profitability,Margin of Sales %,20,R&D,2016-12-01,4.1
VNET,Profitability,Margin of Sales %,20,R&D,2017-12-01,4.4
VNET,Profitability,Margin of Sales %,21,Other,2008-12-01,NA
VNET,Profitability,Margin of Sales %,21,Other,2009-12-01,NA
VNET,Profitability,Margin of Sales %,21,Other,2010-12-01,NA
VNET,Profitability,Margin of Sales %,21,Other,2011-12-01,NA
VNET,Profitability,Margin of Sales %,21,Other,2012-12-01,NA
VNET,Profitability,Margin of Sales %,21,Other,2013-12-01,NA
VNET,Profitability,Margin of Sales %,21,Other,2014-12-01,0.34
VNET,Profitability,Margin of Sales %,21,Other,2015-12-01,0.65
VNET,Profitability,Margin of Sales %,21,Other,2016-12-01,3.04
VNET,Profitability,Margin of Sales %,21,Other,2017-12-01,0.94
VNET,Profitability,Margin of Sales %,22,Operating Margin,2008-12-01,NA
VNET,Profitability,Margin of Sales %,22,Operating Margin,2009-12-01,8.65
VNET,Profitability,Margin of Sales %,22,Operating Margin,2010-12-01,-42.89
VNET,Profitability,Margin of Sales %,22,Operating Margin,2011-12-01,7.65
VNET,Profitability,Margin of Sales %,22,Operating Margin,2012-12-01,6.45
VNET,Profitability,Margin of Sales %,22,Operating Margin,2013-12-01,4.97
VNET,Profitability,Margin of Sales %,22,Operating Margin,2014-12-01,-3.2
VNET,Profitability,Margin of Sales %,22,Operating Margin,2015-12-01,-6.63
VNET,Profitability,Margin of Sales %,22,Operating Margin,2016-12-01,-14.84
VNET,Profitability,Margin of Sales %,22,Operating Margin,2017-12-01,-5.88
VNET,Profitability,Margin of Sales %,23,Net Int Inc & Other,2008-12-01,NA
VNET,Profitability,Margin of Sales %,23,Net Int Inc & Other,2009-12-01,NA
VNET,Profitability,Margin of Sales %,23,Net Int Inc & Other,2010-12-01,-1.5
VNET,Profitability,Margin of Sales %,23,Net Int Inc & Other,2011-12-01,-1.81
VNET,Profitability,Margin of Sales %,23,Net Int Inc & Other,2012-12-01,-0.3
VNET,Profitability,Margin of Sales %,23,Net Int Inc & Other,2013-12-01,-6.83
VNET,Profitability,Margin of Sales %,23,Net Int Inc & Other,2014-12-01,-7.62
VNET,Profitability,Margin of Sales %,23,Net Int Inc & Other,2015-12-01,-4.54
VNET,Profitability,Margin of Sales %,23,Net Int Inc & Other,2016-12-01,-12.03
VNET,Profitability,Margin of Sales %,23,Net Int Inc & Other,2017-12-01,-25.41
VNET,Profitability,Margin of Sales %,24,EBT Margin,2008-12-01,NA
VNET,Profitability,Margin of Sales %,24,EBT Margin,2009-12-01,8.65
VNET,Profitability,Margin of Sales %,24,EBT Margin,2010-12-01,-44.39
VNET,Profitability,Margin of Sales %,24,EBT Margin,2011-12-01,5.84
VNET,Profitability,Margin of Sales %,24,EBT Margin,2012-12-01,6.16
VNET,Profitability,Margin of Sales %,24,EBT Margin,2013-12-01,-1.86
VNET,Profitability,Margin of Sales %,24,EBT Margin,2014-12-01,-10.82
VNET,Profitability,Margin of Sales %,24,EBT Margin,2015-12-01,-11.17
VNET,Profitability,Margin of Sales %,24,EBT Margin,2016-12-01,-26.88
VNET,Profitability,Margin of Sales %,24,EBT Margin,2017-12-01,-31.29
VNET,Profitability,Profitability,25,Tax Rate %,2008-12-01,NA
VNET,Profitability,Profitability,25,Tax Rate %,2009-12-01,NA
VNET,Profitability,Profitability,25,Tax Rate %,2010-12-01,NA
VNET,Profitability,Profitability,25,Tax Rate %,2011-12-01,22.94
VNET,Profitability,Profitability,25,Tax Rate %,2012-12-01,38.54
VNET,Profitability,Profitability,25,Tax Rate %,2013-12-01,NA
VNET,Profitability,Profitability,25,Tax Rate %,2014-12-01,NA
VNET,Profitability,Profitability,25,Tax Rate %,2015-12-01,NA
VNET,Profitability,Profitability,25,Tax Rate %,2016-12-01,NA
VNET,Profitability,Profitability,25,Tax Rate %,2017-12-01,NA
VNET,Profitability,Profitability,26,Net Margin %,2008-12-01,NA
VNET,Profitability,Profitability,26,Net Margin %,2009-12-01,-1.89
VNET,Profitability,Profitability,26,Net Margin %,2010-12-01,-48.63
VNET,Profitability,Profitability,26,Net Margin %,2011-12-01,1.81
VNET,Profitability,Profitability,26,Net Margin %,2012-12-01,3.7
VNET,Profitability,Profitability,26,Net Margin %,2013-12-01,-2.45
VNET,Profitability,Profitability,26,Net Margin %,2014-12-01,-12.11
VNET,Profitability,Profitability,26,Net Margin %,2015-12-01,-11.56
VNET,Profitability,Profitability,26,Net Margin %,2016-12-01,-23.18
VNET,Profitability,Profitability,26,Net Margin %,2017-12-01,-26.96
VNET,Profitability,Profitability,27,Asset Turnover (Average),2008-12-01,NA
VNET,Profitability,Profitability,27,Asset Turnover (Average),2009-12-01,0.9
VNET,Profitability,Profitability,27,Asset Turnover (Average),2010-12-01,0.98
VNET,Profitability,Profitability,27,Asset Turnover (Average),2011-12-01,0.65
VNET,Profitability,Profitability,27,Asset Turnover (Average),2012-12-01,0.57
VNET,Profitability,Profitability,27,Asset Turnover (Average),2013-12-01,0.43
VNET,Profitability,Profitability,27,Asset Turnover (Average),2014-12-01,0.36
VNET,Profitability,Profitability,27,Asset Turnover (Average),2015-12-01,0.35
VNET,Profitability,Profitability,27,Asset Turnover (Average),2016-12-01,0.31
VNET,Profitability,Profitability,27,Asset Turnover (Average),2017-12-01,0.3
VNET,Profitability,Profitability,28,Return on Assets %,2008-12-01,NA
VNET,Profitability,Profitability,28,Return on Assets %,2009-12-01,-1.71
VNET,Profitability,Profitability,28,Return on Assets %,2010-12-01,-47.62
VNET,Profitability,Profitability,28,Return on Assets %,2011-12-01,1.18
VNET,Profitability,Profitability,28,Return on Assets %,2012-12-01,2.09
VNET,Profitability,Profitability,28,Return on Assets %,2013-12-01,-1.06
VNET,Profitability,Profitability,28,Return on Assets %,2014-12-01,-4.42
VNET,Profitability,Profitability,28,Return on Assets %,2015-12-01,-4.1
VNET,Profitability,Profitability,28,Return on Assets %,2016-12-01,-7.25
VNET,Profitability,Profitability,28,Return on Assets %,2017-12-01,-8.19
VNET,Profitability,Profitability,29,Financial Leverage (Average),2008-12-01,NA
VNET,Profitability,Profitability,29,Financial Leverage (Average),2009-12-01,NA
VNET,Profitability,Profitability,29,Financial Leverage (Average),2010-12-01,4.5
VNET,Profitability,Profitability,29,Financial Leverage (Average),2011-12-01,1.45
VNET,Profitability,Profitability,29,Financial Leverage (Average),2012-12-01,1.59
VNET,Profitability,Profitability,29,Financial Leverage (Average),2013-12-01,2.49
VNET,Profitability,Profitability,29,Financial Leverage (Average),2014-12-01,4.38
VNET,Profitability,Profitability,29,Financial Leverage (Average),2015-12-01,2.71
VNET,Profitability,Profitability,29,Financial Leverage (Average),2016-12-01,2.03
VNET,Profitability,Profitability,29,Financial Leverage (Average),2017-12-01,1.96
VNET,Profitability,Profitability,30,Return on Equity %,2008-12-01,NA
VNET,Profitability,Profitability,30,Return on Equity %,2009-12-01,NA
VNET,Profitability,Profitability,30,Return on Equity %,2010-12-01,NA
VNET,Profitability,Profitability,30,Return on Equity %,2011-12-01,2.03
VNET,Profitability,Profitability,30,Return on Equity %,2012-12-01,3.2
VNET,Profitability,Profitability,30,Return on Equity %,2013-12-01,-2.23
VNET,Profitability,Profitability,30,Return on Equity %,2014-12-01,-14.95
VNET,Profitability,Profitability,30,Return on Equity %,2015-12-01,-13.52
VNET,Profitability,Profitability,30,Return on Equity %,2016-12-01,-16.65
VNET,Profitability,Profitability,30,Return on Equity %,2017-12-01,-16.37
VNET,Profitability,Profitability,31,Return on Invested Capital %,2008-12-01,NA
VNET,Profitability,Profitability,31,Return on Invested Capital %,2009-12-01,NA
VNET,Profitability,Profitability,31,Return on Invested Capital %,2010-12-01,NA
VNET,Profitability,Profitability,31,Return on Invested Capital %,2011-12-01,0.97
VNET,Profitability,Profitability,31,Return on Invested Capital %,2012-12-01,2.52
VNET,Profitability,Profitability,31,Return on Invested Capital %,2013-12-01,0.47
VNET,Profitability,Profitability,31,Return on Invested Capital %,2014-12-01,-3.72
VNET,Profitability,Profitability,31,Return on Invested Capital %,2015-12-01,-4.03
VNET,Profitability,Profitability,31,Return on Invested Capital %,2016-12-01,-9.24
VNET,Profitability,Profitability,31,Return on Invested Capital %,2017-12-01,-8.91
VNET,Profitability,Profitability,32,Interest Coverage,2008-12-01,NA
VNET,Profitability,Profitability,32,Interest Coverage,2009-12-01,66.19
VNET,Profitability,Profitability,32,Interest Coverage,2010-12-01,-82.47
VNET,Profitability,Profitability,32,Interest Coverage,2011-12-01,14.56
VNET,Profitability,Profitability,32,Interest Coverage,2012-12-01,9.25
VNET,Profitability,Profitability,32,Interest Coverage,2013-12-01,0.73
VNET,Profitability,Profitability,32,Interest Coverage,2014-12-01,-0.34
VNET,Profitability,Profitability,32,Interest Coverage,2015-12-01,-0.29
VNET,Profitability,Profitability,32,Interest Coverage,2016-12-01,-3.93
VNET,Profitability,Profitability,32,Interest Coverage,2017-12-01,-4.73
VNET,Growth,Revenue %,33,Year over Year,2008-12-01,NA
VNET,Growth,Revenue %,33,Year over Year,2009-12-01,NA
VNET,Growth,Revenue %,33,Year over Year,2010-12-01,67.46
VNET,Growth,Revenue %,33,Year over Year,2011-12-01,94.39
VNET,Growth,Revenue %,33,Year over Year,2012-12-01,49.29
VNET,Growth,Revenue %,33,Year over Year,2013-12-01,29.04
VNET,Growth,Revenue %,33,Year over Year,2014-12-01,46.26
VNET,Growth,Revenue %,33,Year over Year,2015-12-01,26.35
VNET,Growth,Revenue %,33,Year over Year,2016-12-01,0.2
VNET,Growth,Revenue %,33,Year over Year,2017-12-01,-6.84
VNET,Growth,Revenue %,34,3-Year Average,2008-12-01,NA
VNET,Growth,Revenue %,34,3-Year Average,2009-12-01,NA
VNET,Growth,Revenue %,34,3-Year Average,2010-12-01,NA
VNET,Growth,Revenue %,34,3-Year Average,2011-12-01,NA
VNET,Growth,Revenue %,34,3-Year Average,2012-12-01,69.38
VNET,Growth,Revenue %,34,3-Year Average,2013-12-01,55.29
VNET,Growth,Revenue %,34,3-Year Average,2014-12-01,41.24
VNET,Growth,Revenue %,34,3-Year Average,2015-12-01,33.6
VNET,Growth,Revenue %,34,3-Year Average,2016-12-01,22.8
VNET,Growth,Revenue %,34,3-Year Average,2017-12-01,5.66
VNET,Growth,Revenue %,35,5-Year Average,2008-12-01,NA
VNET,Growth,Revenue %,35,5-Year Average,2009-12-01,NA
VNET,Growth,Revenue %,35,5-Year Average,2010-12-01,NA
VNET,Growth,Revenue %,35,5-Year Average,2011-12-01,NA
VNET,Growth,Revenue %,35,5-Year Average,2012-12-01,NA
VNET,Growth,Revenue %,35,5-Year Average,2013-12-01,NA
VNET,Growth,Revenue %,35,5-Year Average,2014-12-01,55.77
VNET,Growth,Revenue %,35,5-Year Average,2015-12-01,47.24
VNET,Growth,Revenue %,35,5-Year Average,2016-12-01,28.96
VNET,Growth,Revenue %,35,5-Year Average,2017-12-01,17.36
VNET,Growth,Revenue %,36,10-Year Average,2008-12-01,NA
VNET,Growth,Revenue %,36,10-Year Average,2009-12-01,NA
VNET,Growth,Revenue %,36,10-Year Average,2010-12-01,NA
VNET,Growth,Revenue %,36,10-Year Average,2011-12-01,NA
VNET,Growth,Revenue %,36,10-Year Average,2012-12-01,NA
VNET,Growth,Revenue %,36,10-Year Average,2013-12-01,NA
VNET,Growth,Revenue %,36,10-Year Average,2014-12-01,NA
VNET,Growth,Revenue %,36,10-Year Average,2015-12-01,NA
VNET,Growth,Revenue %,36,10-Year Average,2016-12-01,NA
VNET,Growth,Revenue %,36,10-Year Average,2017-12-01,NA
VNET,Growth,Operating Income %,37,Year over Year,2008-12-01,NA
VNET,Growth,Operating Income %,37,Year over Year,2009-12-01,NA
VNET,Growth,Operating Income %,37,Year over Year,2010-12-01,NA
VNET,Growth,Operating Income %,37,Year over Year,2011-12-01,NA
VNET,Growth,Operating Income %,37,Year over Year,2012-12-01,559.97
VNET,Growth,Operating Income %,37,Year over Year,2013-12-01,-0.73
VNET,Growth,Operating Income %,37,Year over Year,2014-12-01,NA
VNET,Growth,Operating Income %,37,Year over Year,2015-12-01,NA
VNET,Growth,Operating Income %,37,Year over Year,2016-12-01,NA
VNET,Growth,Operating Income %,37,Year over Year,2017-12-01,NA
VNET,Growth,Operating Income %,38,3-Year Average,2008-12-01,NA
VNET,Growth,Operating Income %,38,3-Year Average,2009-12-01,NA
VNET,Growth,Operating Income %,38,3-Year Average,2010-12-01,NA
VNET,Growth,Operating Income %,38,3-Year Average,2011-12-01,NA
VNET,Growth,Operating Income %,38,3-Year Average,2012-12-01,53.62
VNET,Growth,Operating Income %,38,3-Year Average,2013-12-01,NA
VNET,Growth,Operating Income %,38,3-Year Average,2014-12-01,NA
VNET,Growth,Operating Income %,38,3-Year Average,2015-12-01,NA
VNET,Growth,Operating Income %,38,3-Year Average,2016-12-01,NA
VNET,Growth,Operating Income %,38,3-Year Average,2017-12-01,NA
VNET,Growth,Operating Income %,39,5-Year Average,2008-12-01,NA
VNET,Growth,Operating Income %,39,5-Year Average,2009-12-01,NA
VNET,Growth,Operating Income %,39,5-Year Average,2010-12-01,NA
VNET,Growth,Operating Income %,39,5-Year Average,2011-12-01,NA
VNET,Growth,Operating Income %,39,5-Year Average,2012-12-01,NA
VNET,Growth,Operating Income %,39,5-Year Average,2013-12-01,NA
VNET,Growth,Operating Income %,39,5-Year Average,2014-12-01,NA
VNET,Growth,Operating Income %,39,5-Year Average,2015-12-01,NA
VNET,Growth,Operating Income %,39,5-Year Average,2016-12-01,NA
VNET,Growth,Operating Income %,39,5-Year Average,2017-12-01,NA
VNET,Growth,Operating Income %,40,10-Year Average,2008-12-01,NA
